ID,preco_compra,quartos,banheiros,tamanho_imovel,tamanho_terreno,andares,frente_mar,nivel_vista,condicao,nivel_design,ano_construcao,ano_reforma,codigo_postal,latitude,longitude,mes_venda,estacao_venda,dormitorio_tipo,idade_imovel,reformado,preco_medio,status,preco_venda,lucro
7129300520,221900.0,3,1,1180,5650,1,Não,0,regular,7,1955,Sem reforma,98178,47.5112,-122.257,10,Outono,apart,antigo,Não,312850.9379844961,Sim,244090.00000000003,22190.00000000003
1954400510,510000.0,3,2,1680,8080,1,Não,0,regular,8,1987,Sem reforma,98074,47.6168,-122.045,2,Inverno,apart,antigo,Não,689491.7172413793,Sim,561000.0,51000.0
1321400060,257500.0,3,3,1715,6819,2,Não,0,regular,7,1995,Sem reforma,98003,47.3097,-122.327,6,Verão,apart,antigo,Não,295811.89492753625,Sim,283250.0,25750.0
2008000270,291850.0,3,2,1060,9711,1,Não,0,regular,7,1963,Sem reforma,98198,47.4095,-122.315,1,Inverno,apart,antigo,Não,305269.4072727273,Sim,321035.0,29185.0
2414600126,229500.0,3,1,1780,7470,1,Não,0,regular,7,1960,Sem reforma,98146,47.5123,-122.337,4,Primavera,apart,antigo,Não,363833.0,Sim,252450.00000000003,22950.00000000003
3793500160,323000.0,3,3,1890,6560,2,Não,0,regular,7,2003,Sem reforma,98038,47.3684,-122.031,3,Primavera,apart,novo,Não,367328.5928449744,Sim,355300.0,32300.0
6054650070,400000.0,3,2,1370,9680,1,Não,0,boa,7,1977,Sem reforma,98074,47.6127,-122.045,10,Outono,apart,antigo,Não,689491.7172413793,Sim,459999.99999999994,59999.99999999994
1875500060,395000.0,3,2,1890,14040,2,Não,0,regular,7,1994,Sem reforma,98019,47.7277,-121.962,7,Verão,apart,antigo,Não,424788.74736842106,Sim,434500.00000000006,39500.00000000006
7983200060,230000.0,3,1,1250,9774,1,Não,0,boa,7,1969,Sem reforma,98003,47.3343,-122.306,4,Primavera,apart,antigo,Não,295811.89492753625,Sim,264500.0,34500.0
7137970340,285000.0,5,3,2270,6300,2,Não,0,regular,8,1995,Sem reforma,98092,47.3266,-122.169,7,Verão,casa,antigo,Não,334921.0626780627,Sim,313500.0,28500.0
8091400200,252700.0,2,2,1070,9643,1,Não,0,regular,7,1985,Sem reforma,98030,47.3533,-122.166,5,Inverno,apart,antigo,Não,297939.22134387353,Sim,277970.0,25270.0
8562750320,580500.0,3,3,2320,3980,2,Não,0,regular,8,2003,Sem reforma,98027,47.5391,-122.07,11,Outono,apart,novo,Não,617141.4209245743,Sim,638550.0,58050.0
2426039314,280000.0,2,2,1190,1265,3,Não,0,regular,7,2005,Sem reforma,98133,47.7274,-122.357,12,Inverno,apart,novo,Não,388946.9731958763,Sim,308000.0,28000.0
